,lr,seed,model,split,device,epochs,min_lr,dataset,emb_dim,pooling,drop_out,max_time,tracking,drop_feat,batch_size,k_wl_turbo,num_layers,config_file,cross_val_id,do_drop_feat,lr_scheduler,node_encoder,use_tracking,virtual_node,cross_val_run,k_wl_set_based,num_mlp_layers,transform_k_wl,add_node_degree,sequential_k_wl,cross_validation,use_node_encoder,use_virtual_node,add_num_triangles,k_wl_pool_function,lr_schedule_patience,connected_k_wl_last_k,k_wl_compute_attributes,k_wl_separate_embedding,lr_scheduler_decay_rate,lr_scheduler_decay_steps,k_wl_turbo_max_group_size,filter_data_max_graph_size,Train/BatchLoss,Val/rocauc (ogb),Test/rocauc (ogb),_step,_runtime,Test/Loss,LearningRate,Epoch,Val/Loss,Train/Loss,_timestamp,Final/Train/Loss,Final/Test/rocauc (ogb),BestTest/Val/rocauc (ogb),_wandb,Final/Val/Loss,Final/Test/Loss,BestTest/Val/Loss,BestTest/Test/Loss,Final/Val/rocauc (ogb),BestTest/Test/rocauc (ogb),Val/accuracy,Final/Val/accuracy,Final/Test/accuracy,BestTest/Test/accuracy,Test/accuracy,BestTest/Val/accuracy
10,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,64,sum,0.5,12,1,0,8,1,4,,6cd9c27b-324a-482b-a827-df77acd9a3ff,False,ReduceLROnPlateau,1,True,0,1,1,1,3,1,1,2,True,False,0,mode,10000,1,1,0,0.5,50,-1,70,0.3705618977546692,0.7620416049488679,0.729270580531828,78200.0,1075.3388006687164,0.30125214500973624,0.001,100.0,0.28334923831675923,0.1497880634647346,1708261465.6638556,0.15501222481849064,0.737226877518836,0.7829478229207648,{'runtime': 1074},0.2680405602632175,0.28815404007521767,0.2647966346842383,0.2647966346842383,0.7902154874832403,0.7570897067500311,,,,,,
11,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,64,sum,0.5,12,1,0,8,1,4,,6cd9c27b-324a-482b-a827-df77acd9a3ff,False,ReduceLROnPlateau,1,True,0,0,1,1,3,1,1,2,True,False,0,mode,10000,1,1,0,0.5,50,-1,70,0.3747908473014831,0.7421644418960122,0.7297176059656397,78200.0,1078.523225069046,0.2966115055605769,0.001,100.0,0.2931871887600839,0.15063760537524057,1708260385.082886,0.15511474117651003,0.7427918794843381,0.7755035578586839,{'runtime': 1077},0.26669978123791177,0.2821798514729987,0.26373520617683727,0.26373520617683727,0.78580571763782,0.7550455227791294,,,,,,
12,0.0001,42,GIN,0,0,100,1e-05,ogbg-moltox21,32,mean,0.0,12,1,0,4,0,9,,2b3ae83d-8bd2-4807-9e7d-87b5d9491f14,False,ReduceLROnPlateau,1,True,0,1,1,1,2,1,1,2,True,False,0,mode,10000,0,1,0,0.5,50,-1,70,0.2044513374567032,0.6611223487183274,0.6321798573715224,156200.0,2551.131007194519,0.5778935009924074,0.0001,100.0,0.6081859909152629,0.16994500335142404,1708259295.3505712,0.17329324250614098,0.7448307465013126,0.77024032554363,{'runtime': 2550},0.335793823617403,0.4396838505053893,0.335793823617403,0.335793823617403,0.77024032554363,0.7448307465013126,,,,,,
13,0.0001,42,GIN,0,0,100,1e-05,ogbg-moltox21,32,mean,0.0,12,1,0,4,0,9,,2b3ae83d-8bd2-4807-9e7d-87b5d9491f14,False,ReduceLROnPlateau,1,True,0,0,1,1,2,1,1,2,True,False,0,mode,10000,0,1,0,0.5,50,-1,70,0.20672766864299777,0.6820587486509176,0.6633481846448036,156200.0,2566.784536123276,0.40518655655614566,0.0001,100.0,0.370891492190528,0.16985362392481093,1708256737.5715811,0.1715926313626579,0.7344595976831595,0.7625034114103713,{'runtime': 2566},0.2975364380483497,0.3228249132419781,0.29691211564222353,0.29691211564222353,0.7762754123327159,0.7384511130060535,,,,,,
14,0.0001,42,GIN,0,0,100,1e-05,ogbg-moltox21,16,sum,0.5,12,1,0,4,1,4,,6b60add7-ad29-4851-886a-1d3722ac3b00,False,ReduceLROnPlateau,1,True,0,1,1,1,3,1,1,2,True,False,0,mode,10000,1,1,0,0.5,50,-1,70,0.2701471447944641,0.7539462771904059,0.7307803542621726,156200.0,1936.2240846157072,0.27289619394772063,0.0001,100.0,0.2708802628687229,0.2011773491642942,1708254164.2479303,0.20282568238993096,0.7313923902462492,0.7499683058854926,{'runtime': 1935},0.2661337146557259,0.26935955673495,0.2734297910166467,0.2734297910166467,0.7567736034661099,0.7342022553651263,,,,,,
15,0.0001,42,GIN,0,0,100,1e-05,ogbg-moltox21,16,sum,0.5,12,1,0,4,1,4,,6b60add7-ad29-4851-886a-1d3722ac3b00,False,ReduceLROnPlateau,1,True,0,0,1,1,3,1,1,2,True,False,0,mode,10000,1,1,0,0.5,50,-1,70,0.2761772572994232,0.7533820291964407,0.7301699978389871,156200.0,1902.519212961197,0.27121342417861644,0.0001,100.0,0.27059276405862026,0.2018068588074107,1708252221.352277,0.2027081691220436,0.7327876210103819,0.7554029786813183,{'runtime': 1901},0.2658007205711574,0.2679802559917637,0.2674950311291388,0.2674950311291388,0.7580569749562263,0.7385164779264349,,,,,,
16,0.0001,42,GIN,0,0,100,1e-05,ogbg-moltox21,32,sum,0.5,12,1,0,16,0,9,,0399cf00-0ccd-436f-b811-391a41c2db51,False,ReduceLROnPlateau,1,True,0,1,1,1,0,1,1,2,True,False,0,mode,10000,1,0,0,0.5,50,-1,70,0.23616957664489743,0.7244817264555028,0.693977959979696,39200.0,578.2409856319427,0.2873741441095869,0.0001,100.0,0.28059177652445905,0.21716276045145036,1708250312.0186586,0.2178559785029018,0.7065303731444369,0.74403654233088,{'runtime': 576},0.29294137540726345,0.30452794333299,0.29294137540726345,0.29294137540726345,0.74403654233088,0.7065303731444369,,,,,,
17,0.0001,42,GIN,0,0,100,1e-05,ogbg-moltox21,32,sum,0.5,12,1,0,16,0,9,,0399cf00-0ccd-436f-b811-391a41c2db51,False,ReduceLROnPlateau,1,True,0,0,1,1,0,1,1,2,True,False,0,mode,10000,1,0,0,0.5,50,-1,70,0.22541405260562897,0.7251565164261855,0.7035040567202268,39200.0,587.9990885257721,0.28706137277185917,0.0001,100.0,0.29127320984496835,0.2191744099410823,1708249728.2137125,0.2241104627048996,0.6984070607157676,0.7262534102876881,{'runtime': 587},0.2853520690679705,0.2926609870046377,0.2931441504957611,0.2931441504957611,0.7344355575531888,0.7069187386449086,,,,,,
18,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,16,sum,0.5,12,1,0,20,0,6,,8e90d3ce-2d5f-43a2-ae85-c25fc351eb11,False,ReduceLROnPlateau,1,True,0,1,1,1,0,1,1,2,True,False,0,mode,10000,0,0,0,0.5,50,-1,70,0.05273432657122612,0.7626530676960556,0.7557870098261469,31400.0,361.41693139076233,0.28403711955373484,0.001,100.0,0.27523098628963166,0.1916753045011411,1708249132.5632813,0.19386627735884593,0.7338965087274322,0.7626530676960556,{'runtime': 360},0.2676215697703195,0.27584570956726867,0.27523098628963166,0.27523098628963166,0.7721297283861993,0.7557870098261469,,,,,,
19,0.001,42,GIN,0,0,100,1e-05,ogbg-moltox21,16,sum,0.5,12,1,0,20,0,6,,8e90d3ce-2d5f-43a2-ae85-c25fc351eb11,False,ReduceLROnPlateau,1,True,0,0,1,1,0,1,1,2,True,False,0,mode,10000,0,0,0,0.5,50,-1,70,0.07121473550796509,0.7449899876111825,0.7282684643177588,31400.0,366.0604190826416,0.274313248693943,0.001,100.0,0.2683703648518341,0.1915734124246678,1708248766.813597,0.19491139246232617,0.7155402852254987,0.7449899876111825,{'runtime': 365},0.2629485421762083,0.278839880367741,0.2683703648518341,0.2683703648518341,0.7607059977103341,0.7282684643177588,,,,,,
