"Name","best_test_acc","best_val_acc","architecture","State","Notes","User","Tags","Created","Runtime","Sweep","cross_split_i","cross_valid_id","dataset","random_seed_set","best_val_loss","epoch","test_acc (Max)","val_acc (Max)","val_loss (Min)"
"glorious-sun-918","0.8181818181818182","0.6741573033707865","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-09T00:47:33.000Z","531","","9","6a5a4234-9486-4a86-afe2-b7db39f786c4","IMDB-BINARY","true","0.5271412656548318","100","0.8484848484848485","0.7415730337078652","0.5271412656548318"
"blooming-glitter-917","0.6464646464646465","0.7078651685393258","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-09T00:38:34.000Z","536","","8","6a5a4234-9486-4a86-afe2-b7db39f786c4","IMDB-BINARY","true","0.5075955444507385","100","0.7272727272727273","0.7640449438202247","0.5075955444507385"
"playful-yogurt-916","0.7171717171717171","0.797752808988764","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-09T00:29:32.000Z","540","","7","6a5a4234-9486-4a86-afe2-b7db39f786c4","IMDB-BINARY","true","0.4898890323853225","100","0.7676767676767676","0.797752808988764","0.4898890323853225"
"glorious-serenity-915","0.7474747474747475","0.8202247191011236","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-09T00:20:33.000Z","536","","6","6a5a4234-9486-4a86-afe2-b7db39f786c4","IMDB-BINARY","true","0.4668527774596482","100","0.7777777777777778","0.8426966292134831","0.4668527774596482"
"vague-aardvark-914","0.7676767676767676","0.6292134831460674","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-09T00:11:30.000Z","540","","5","6a5a4234-9486-4a86-afe2-b7db39f786c4","IMDB-BINARY","true","0.5290918939569024","100","0.8080808080808081","0.7191011235955056","0.5290918939569024"
"comfy-deluge-913","0.6464646464646465","0.7078651685393258","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-09T00:02:15.000Z","553","","4","6a5a4234-9486-4a86-afe2-b7db39f786c4","IMDB-BINARY","true","0.5156349492876717","100","0.7070707070707071","0.797752808988764","0.5156349492876717"
"dauntless-armadillo-912","0.7474747474747475","0.7415730337078652","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-08T23:53:06.000Z","546","","3","6a5a4234-9486-4a86-afe2-b7db39f786c4","IMDB-BINARY","true","0.5148417708579074","100","0.7878787878787878","0.7415730337078652","0.5148417708579074"
"elated-capybara-911","0.6868686868686869","0.6966292134831461","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-08T23:44:17.000Z","526","","2","6a5a4234-9486-4a86-afe2-b7db39f786c4","IMDB-BINARY","true","0.47422822941555065","100","0.7171717171717171","0.7303370786516854","0.47422822941555065"
"pious-valley-910","0.6363636363636364","0.6853932584269663","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-08T23:35:21.000Z","533","","1","6a5a4234-9486-4a86-afe2-b7db39f786c4","IMDB-BINARY","true","0.5212554127982493","100","0.6868686868686869","0.7415730337078652","0.5212554127982493"
"eternal-wave-909","0.7575757575757576","0.6629213483146067","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-08T23:26:40.000Z","519","","0","6a5a4234-9486-4a86-afe2-b7db39f786c4","IMDB-BINARY","true","0.5449868534388167","100","0.8383838383838383","0.6966292134831461","0.5449868534388167"
