"Name","Created","transform_k_wl","filter_data_max_graph_size","sequential_k_wl","connected_k_wl_last_k","k_wl_set_based","Final/Test/accuracy","Final/Val/accuracy","BestTest/Test/accuracy","BestTest/Val/accuracy","State","User","Runtime","batch_size","dataset","device","drop_out","emb_dim","epochs","lr","num_layers","num_mlp_layers","Epoch","Final/Test/Loss","Final/Train/Loss","Final/Val/Loss","Final/Val/rocauc (ogb)","LearningRate","Test/Loss","Test/accuracy","Train/BatchLoss","Train/Loss","Val/Loss","Val/accuracy","Val/rocauc (ogb)","add_num_triangles","lr_schedule_patience","add_node_degree","BestTest/Test/Loss","BestTest/Val/Loss","BestTest/Val/rocauc (ogb)","Test/rocauc (ogb)","Final/Test/rocauc (ogb)","BestTest/Test/rocauc (ogb)","k_wl_turbo","k_wl_separate_embedding","cross_val_id","cross_val_run","cross_validation","k_wl_pool_function"
"lucky-cloud-2931","2023-12-09T12:34:33.000Z","3","70","1","0","1","","","","","running","ondrej-brichta","352","16","IMDB-BINARY","0","0.5","16","100","0.001","12","1","92","","","","","0.001","0.5069691682580727","0.7236180904522613","0.37768125534057617","0.491649014542469","0.4771253556575415","0.7484276729559748","","0","10000","1","","","","","","","0","0","e133fb49-9bca-41a4-9d50-811111d54295","4","5","cat"
"playful-river-2930","2023-12-09T12:27:54.000Z","3","70","1","0","1","0.7085427135678392","0.7861635220125787","0.7638190954773869","0.7672955974842768","finished","ondrej-brichta","396","16","IMDB-BINARY","0","0.5","16","100","0.001","12","1","100","0.5279794820589037","0.5186845781661126","0.5123960724416768","","0.001","0.4992189745807169","0.7587939698492462","0.4462316036224365","0.46639969879556975","0.5334428363251236","0.779874213836478","","0","10000","1","0.5346908822374524","0.5346908822374524","","","","","0","0","e133fb49-9bca-41a4-9d50-811111d54295","3","5","cat"
"rare-serenity-2929","2023-12-09T12:21:27.000Z","3","70","1","0","1","0.7236180904522613","0.7484276729559748","0.7587939698492462","0.7044025157232704","finished","ondrej-brichta","384","16","IMDB-BINARY","0","0.5","16","100","0.001","12","1","100","0.5647036076790124","0.5039446604289232","0.5122234202780813","","0.001","0.548185860990879","0.7236180904522613","0.3354392945766449","0.43894651289270215","0.49877995327583646","0.710691823899371","","0","10000","1","0.5479118891482083","0.5479118891482083","","","","","0","0","e133fb49-9bca-41a4-9d50-811111d54295","2","5","cat"
"drawn-field-2928","2023-12-09T12:15:07.000Z","3","70","1","0","1","0.7487437185929648","0.7861635220125787","0.7487437185929648","0.7484276729559748","finished","ondrej-brichta","376","16","IMDB-BINARY","0","0.5","16","100","0.001","12","1","100","0.48990557795792966","0.48425442251292145","0.4691805072925376","","0.001","0.5006644313958422","0.7236180904522613","0.3699547350406647","0.4704922660951704","0.4823819665039111","0.7295597484276729","","0","10000","1","0.4922347953484493","0.4922347953484493","","","","","0","0","e133fb49-9bca-41a4-9d50-811111d54295","1","5","cat"
"rare-darkness-2927","2023-12-09T12:08:45.000Z","3","70","1","0","1","0.7939698492462312","0.7610062893081762","0.8140703517587939","0.7169811320754716","finished","ondrej-brichta","379","16","IMDB-BINARY","0","0.5","16","100","0.001","12","1","100","0.4458349976108302","0.5372513685854251","0.5060447454452515","","0.001","0.4386658407934946","0.8090452261306532","0.3519092798233032","0.5034152441263946","0.5378689357319718","0.7232704402515723","","0","10000","1","0.5400961300112167","0.5400961300112167","","","","","0","0","e133fb49-9bca-41a4-9d50-811111d54295","0","5","cat"
"summer-pine-2926","2023-12-09T11:59:19.000Z","3","70","1","0","1","0.7386934673366834","0.7421383647798742","0.7537688442211056","0.7169811320754716","finished","ondrej-brichta","563","4","IMDB-BINARY","0","0","32","100","0.0001","9","1","100","0.6121071720842141","0.5957385585599558","0.5906546921850001","","0.0001","1.2857919230533006","0.7286432160804021","0.7612403631210327","0.5627925080191752","1.3941806138686414","0.6918238993710691","","0","10000","1","0.5607252934443876","0.5607252934443876","","","","","0","0","cbf584f5-407f-4932-9946-4acd8e66db67","4","5","cat"
"sandy-dew-2925","2023-12-09T11:49:38.000Z","3","70","1","0","1","0.6984924623115578","0.7295597484276729","0.7185929648241206","0.6981132075471698","finished","ondrej-brichta","578","4","IMDB-BINARY","0","0","32","100","0.0001","9","1","100","1.61911602355727","0.5846783513185746","2.3299276929981305","","0.0001","3.281037677772081","0.7085427135678392","0.7424882054328918","0.5623902959696552","5.1567621000532835","0.6918238993710691","","0","10000","1","5.060981272339071","5.060981272339071","","","","","0","0","cbf584f5-407f-4932-9946-4acd8e66db67","3","5","cat"
"sandy-lion-2924","2023-12-09T11:40:11.000Z","3","70","1","0","1","0.7236180904522613","0.7295597484276729","0.7236180904522613","0.7295597484276729","finished","ondrej-brichta","564","4","IMDB-BINARY","0","0","32","100","0.0001","9","1","100","1.4246470597221623","0.5379710364678063","1.2889043917446017","","0.0001","2.0546688692054556","0.6984924623115578","0.734717607498169","0.5401713933130043","1.8736198297086752","0.6540880503144654","","0","10000","1","1.2889043917446017","1.2889043917446017","","","","","0","0","cbf584f5-407f-4932-9946-4acd8e66db67","2","5","cat"
"sandy-lake-2923","2023-12-09T11:30:45.000Z","3","70","1","0","1","0.6733668341708543","0.7295597484276729","0.7336683417085427","0.6792452830188679","finished","ondrej-brichta","563","4","IMDB-BINARY","0","0","32","100","0.0001","9","1","100","13.719869451906211","0.6102562903610517","15.398317041637013","","0.0001","3.100014430681365","0.6733668341708543","0.8956887125968933","0.5454260116460555","3.7600379080142616","0.6163522012578616","","0","10000","1","1.057256540037551","1.057256540037551","","","","","0","0","cbf584f5-407f-4932-9946-4acd8e66db67","1","5","cat"
"worthy-cloud-2922","2023-12-09T11:21:18.000Z","3","70","1","0","1","0.7035175879396985","0.7295597484276729","0.7386934673366834","0.7044025157232704","finished","ondrej-brichta","564","32","IMDB-BINARY","0","0.5","64","100","0.0001","10","1","100","1.0677839394789843","0.5743372059167365","0.792004442814761","","0.0001","1.9398238805670236","0.6733668341708543","0.6161457896232605","0.584330605675808","1.9342849254608152","0.660377358490566","","0","10000","1","0.6338986855632854","0.6338986855632854","","","","","0","0","a568c0db-aebe-4417-b9ba-73c94ffed54f","0","5","cat"
"lunar-mountain-2921","2023-12-09T11:16:36.000Z","3","70","1","0","1","0.7236180904522613","0.7672955974842768","0.7688442211055276","0.7169811320754716","finished","ondrej-brichta","279","8","IMDB-BINARY","0","0","8","100","0.001","6","1","100","0.4915436329554074","0.5072562060199187","0.5103622461264988","","0.001","0.4931690048931831","0.7537688442211056","0.29018354415893555","0.476882760614437","0.4802645887218931","0.7484276729559748","","0","10000","1","0.4958773502763712","0.4958773502763712","","","","","0","0","bcbd2471-fe1f-454b-98a1-e4a3de0f7d66","4","5","cat"
"confused-plasma-2920","2023-12-09T11:11:48.000Z","3","70","1","0","1","0.7085427135678392","0.7861635220125787","0.7587939698492462","0.7295597484276729","finished","ondrej-brichta","285","8","IMDB-BINARY","0","0","8","100","0.001","6","1","100","0.5076436421379971","0.5083118387524237","0.5312297160520494","","0.001","0.4896410592836351","0.7286432160804021","0.1676861047744751","0.4602536174197182","0.543829137611689","0.7358490566037735","","0","10000","1","0.541473851826206","0.541473851826206","","","","","0","0","bcbd2471-fe1f-454b-98a1-e4a3de0f7d66","3","5","cat"
"clear-durian-2919","2023-12-09T11:07:07.000Z","3","70","1","0","1","0.7437185929648241","0.7169811320754716","0.7537688442211056","0.710691823899371","finished","ondrej-brichta","278","8","IMDB-BINARY","0","0","8","100","0.001","6","1","100","0.5419335536022282","0.48586160682585544","0.5305025937422266","","0.001","0.5810641343869156","0.7236180904522613","0.2048764526844025","0.44728777728110647","0.5147189947794069","0.6918238993710691","","0","10000","1","0.5358657656975512","0.5358657656975512","","","","","0","0","bcbd2471-fe1f-454b-98a1-e4a3de0f7d66","2","5","cat"
"lemon-dream-2918","2023-12-09T11:02:27.000Z","3","70","1","0","1","0.7336683417085427","0.7861635220125787","0.7537688442211056","0.6918238993710691","finished","ondrej-brichta","277","8","IMDB-BINARY","0","0","8","100","0.001","6","1","100","0.5364263247904466","0.5288764811982182","0.5046284105042992","","0.001","0.5439006433115533","0.7185929648241206","0.27128899097442627","0.4720983260477598","0.4816401319683723","0.7672955974842768","","0","10000","1","0.5396817997566559","0.5396817997566559","","","","","0","0","bcbd2471-fe1f-454b-98a1-e4a3de0f7d66","1","5","cat"
"pretty-pine-2917","2023-12-09T10:57:46.000Z","3","70","1","0","1","0.7336683417085427","0.7295597484276729","0.8190954773869347","0.6981132075471698","finished","ondrej-brichta","278","8","IMDB-BINARY","0","0","8","100","0.001","6","1","100","0.4701756420147479","0.5501077113480404","0.5213683577453565","","0.001","0.472976575844252","0.7688442211055276","0.3574185073375702","0.5034178649557048","0.5638143045347441","0.6792452830188679","","0","10000","1","0.5522999068101248","0.5522999068101248","","","","","0","0","bcbd2471-fe1f-454b-98a1-e4a3de0f7d66","0","5","cat"
"stellar-shadow-2916","2023-12-09T10:50:28.000Z","3","70","1","0","1","0.7135678391959799","0.7610062893081762","0.7688442211055276","0.7232704402515723","finished","ondrej-brichta","435","8","IMDB-BINARY","0","0","32","100","0.001","9","1","100","0.5197284467256249","0.4886628579009663","0.4842348372411428","","0.001","0.5780029570936558","0.6984924623115578","1.0566705465316772","0.43980241812134985","0.49396654082544195","0.7232704402515723","","0","10000","1","0.49725263748528825","0.49725263748528825","","","","","0","0","3a477da9-7234-4430-ba68-b2a52d0cec22","4","5","cat"
"azure-vortex-2915","2023-12-09T10:43:04.000Z","3","70","1","0","1","0.7185929648241206","0.779874213836478","0.7537688442211056","0.779874213836478","finished","ondrej-brichta","441","8","IMDB-BINARY","0","0","32","100","0.001","9","1","100","0.5083980719048773","0.49124003671179745","0.5276034112621404","","0.001","0.4685538602833772","0.7336683417085427","0.9977957606315612","0.45616336657335765","0.5288653810444118","0.7547169811320755","","0","10000","1","0.5071201778057987","0.5071201778057987","","","","","0","0","3a477da9-7234-4430-ba68-b2a52d0cec22","3","5","cat"
"eager-grass-2914","2023-12-09T10:35:48.000Z","3","70","1","0","1","0.6683417085427136","0.7547169811320755","0.7587939698492462","0.7044025157232704","finished","ondrej-brichta","433","8","IMDB-BINARY","0","0","32","100","0.001","9","1","100","0.6149547959691916","0.4386493199297627","0.5201062003396592","","0.001","0.614042534900071","0.6633165829145728","0.3786592185497284","0.4149327208069051","0.5379069012665899","0.7232704402515723","","0","10000","1","0.5099509167221358","0.5099509167221358","","","","","0","0","3a477da9-7234-4430-ba68-b2a52d0cec22","2","5","cat"
"elated-fire-2913","2023-12-09T10:28:41.000Z","3","70","1","0","1","0.7487437185929648","0.779874213836478","0.7537688442211056","0.7610062893081762","finished","ondrej-brichta","424","8","IMDB-BINARY","0","0","32","100","0.001","9","1","100","0.5014708117024982","0.4871329259722958","0.4852998712152805","","0.001","0.5521297783558093","0.7286432160804021","0.5077422857284546","0.4679904266210933","0.5071163567357093","0.7421383647798742","","0","10000","1","0.4806558778450924","0.4806558778450924","","","","","0","0","3a477da9-7234-4430-ba68-b2a52d0cec22","1","5","cat"
"ruby-night-2912","2023-12-09T10:21:07.000Z","3","70","1","0","1","0.7738693467336684","0.7358490566037735","0.8090452261306532","0.7169811320754716","finished","ondrej-brichta","451","16","IMDB-BINARY","0","0","32","100","0.0001","6","1","100","0.4983292654830606","0.5819743501728979","0.5369711810687803","","0.001","0.4135942656790192","0.8040201005025126","0.3593868613243103","0.4739891946502614","0.515685703394548","0.7232704402515723","","0","10000","1","0.5418970232489724","0.5418970232489724","","","","","0","0","de19cfa6-3c06-4126-9f92-5533bf0aacc1","3","5","cat"
"atomic-sponge-2911","2023-12-09T10:16:16.000Z","3","70","1","0","1","0.7085427135678392","0.7547169811320755","0.7638190954773869","0.7295597484276729","finished","ondrej-brichta","288","16","IMDB-BINARY","0","0","32","100","0.0001","6","1","100","0.5772376282131253","0.4547197516061669","0.508024238565433","","0.0001","0.5481690099490947","0.7437185929648241","0.8583308458328247","0.4391867733300666","0.5005393290669663","0.710691823899371","","0","10000","1","0.541194460302029","0.541194460302029","","","","","0","0","de19cfa6-3c06-4126-9f92-5533bf0aacc1","2","5","cat"
