"Name","best_test_acc","best_val_acc","architecture","State","Notes","User","Tags","Created","Runtime","Sweep","cross_split_i","cross_valid_id","dataset","best_val_loss","epoch","test_acc (Max)","val_acc (Max)","val_loss (Min)"
"splendid-dust-383","0.8484848484848485","0.6853932584269663","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-06T19:02:12.000Z","521","","9","be40479b-6410-44d8-8670-b853dd094241","IMDB-BINARY","0.5099424619353219","100","0.8484848484848485","0.7640449438202247","0.5099424619353219"
"vital-valley-165","0.8383838383838383","0.7640449438202247","1-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-05T14:08:44.000Z","72","","7","acd18735-6650-457c-a322-a71c6707ef0a","IMDB-BINARY","0.467084338156025","100","0.8383838383838383","0.797752808988764","0.467084338156025"
"fallen-microwave-70","0.8282828282828283","0.6853932584269663","1-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-05T12:44:49.000Z","50","","4","cb344a19-ba1e-4340-9114-28bcb7477f8d","IMDB-BINARY","0.5475434185413832","100","0.8282828282828283","0.7191011235955056","0.5475434185413832"
"floral-salad-466","0.8282828282828283","0.6966292134831461","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-07T07:11:05.000Z","521","","2","ecca7e9b-7831-4d52-8276-3e643dfe441b","IMDB-BINARY","0.5315382775295986","100","0.8383838383838383","0.7640449438202247","0.5315382775295986"
"eager-universe-109","0.8181818181818182","0.797752808988764","1-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-05T13:19:22.000Z","51","","3","0916b662-1941-46a5-9cdf-65a0b0d903da","IMDB-BINARY","0.41192690174231367","100","0.8181818181818182","0.8539325842696629","0.41192690174231367"
"eager-glade-475","0.8181818181818182","0.7191011235955056","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-07T08:30:03.000Z","514","","1","2dc6e8ce-52d7-4b95-bb28-265e9db462af","IMDB-BINARY","0.48186048229088946","100","0.8383838383838383","0.7415730337078652","0.48186048229088946"
"prime-glade-325","0.8181818181818182","0.7191011235955056","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-06T10:15:32.000Z","537","","1","e787c21b-b6f0-4b0e-9a27-7b1536de78d5","IMDB-BINARY","0.5784623596105682","100","0.8181818181818182","0.7303370786516854","0.5784623596105682"
"fiery-yogurt-472","0.8080808080808081","0.7640449438202247","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-07T08:03:38.000Z","518","","8","ecca7e9b-7831-4d52-8276-3e643dfe441b","IMDB-BINARY","0.5206088001808423","100","0.8080808080808081","0.7640449438202247","0.5206088001808423"
"trim-wood-371","0.797979797979798","0.8089887640449438","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-06T17:07:49.000Z","572","","7","44ea7486-5bdd-4b92-83fa-48bc2a0a5445","IMDB-BINARY","0.46755436297213093","100","0.797979797979798","0.8314606741573034","0.46755436297213093"
"graceful-galaxy-269","0.797979797979798","0.7415730337078652","1-2-3-imdb_wandb.py","finished","-","ondrej-brichta","","2023-12-06T02:07:21.000Z","524","","5","08a65f5a-540d-4587-a6f7-0b02c1b48803","IMDB-BINARY","0.5251447056116683","100","0.797979797979798","0.7640449438202247","0.5251447056116683"
